Nombre,Licencias,Dominios,statusesCount,followersCount,friendsCount,created,listedCount,UsuarioTwitter
"Bluesblock, SA",Concursos,www.bluesblock.es,,,,,,
"Codere Online, SAU","Ruleta,Black Jack,Máquinas de azar - slots,Deportivas de contrapartida,Hípicas de contrapartida,Otras de contrapartida","www.codere.es,apuestas.codere.es,www.codereapuestas.es,",14213,22267,0,2012-11-19 13:00:41,69,CodereApuestas
"Concursos Multiplataformas, SAU",Concursos,,,,,,,
"Esgaming, SAU","Ruleta,Black Jack,Punto y banca,Máquinas de azar - slots","www.casinogranmadridtv.es,www.casinogranmadridonline.es,www.casinogranmadrid.es,",17331,4610,782,2011-01-07 12:29:41,77,CasinoGranMad
"Eurojuego Star, SA",Concursos,"www.eurojuego.es,www.eurojuegostar.es,",0,0,11,2011-08-12 08:05:20,0,Eurojuego
"JS2015 Games, SAU",,,,,,,,
"Sociedad Estatal Loterías y Apuestas del Estado, S.M.E.,S.A.","Deportivas mutuas,Hípicas mutuas",www.loteriasyapuestas.es,16612,22664,392,2008-12-18 09:37:56,209,loterias_es
"Suertia Interactiva, SA","Ruleta,Black Jack,Máquinas de azar - slots,Deportivas mutuas,Deportivas de contrapartida",www.suertia.es,16099,1177,184,2009-10-12 18:06:02,58,Suertia
"Unidad Editorial Juegos, SA","Ruleta,Black Jack,Punto y banca,Máquinas de azar - slots,Deportivas de contrapartida","apuestas.marca.es,marcaapuestas.es,",20560,5521,323,2010-04-13 20:41:31,77,MARCAapuestas
"888 Spain, Plc","Póquer,Ruleta,Black Jack,Máquinas de azar - slots,Deportivas de contrapartida","www.888.es,www.888casino.es,www.888poker.es,www.888sport.es,",6307,7983,932,2013-10-28 10:15:14,42,888pokerSpain
"Banegras Unión, SA","Ruleta,Black Jack,Punto y banca,Máquinas de azar - slots,Deportivas de contrapartida",www.juegging.es,1239,503,98,2017-05-29 15:53:22,3,JueggingES
